S.No.,Pin Code,City Name,State,Country,Is Active
136,122009,Galleria Dlf-Iv,Haryana,India,TRUE
137,122010,Dlf Ph-iii,Haryana,India,TRUE
138,122011,Gurgaon,Haryana,India,TRUE
139,122015,Gurgaon,Haryana,India,TRUE
140,122016,Gurgaon,Haryana,India,TRUE
141,122017,Gurgaon,Haryana,India,TRUE
142,122018,Gurgaon,Haryana,India,TRUE
143,122050,Gurgaon,Haryana,India,TRUE
144,122051,Gurgaon,Haryana,India,TRUE
145,122052,Gurgaon,Haryana,India,TRUE
146,122098,Gurgaon,Haryana,India,TRUE
147,122101,Gurgaon,Haryana,India,TRUE
148,122102,Gurgaon,Haryana,India,TRUE
149,122103,Gurgaon,Haryana,India,TRUE
150,122104,Gurgaon,Haryana,India,TRUE
151,122105,Gurgaon,Haryana,India,TRUE
152,122106,Gurgaon,Haryana,India,TRUE
153,122107,Gurgaon,Haryana,India,TRUE
154,122108,Gurgaon,Haryana,India,TRUE
155,122413,Gurgaon,Haryana,India,TRUE
156,122414,Gurgaon,Haryana,India,TRUE
157,122502,Gurgaon,Haryana,India,TRUE
158,122503,Gurgaon,Haryana,India,TRUE
159,122504,Gurgaon,Haryana,India,TRUE
160,122505,Gurgaon,Haryana,India,TRUE
161,122506,Gurgaon,Haryana,India,TRUE
162,122508,Gurgaon,Haryana,India,TRUE
163,123001,Mahendragarh,Haryana,India,TRUE
164,123003,Gurgaon,Haryana,India,TRUE
165,123021,Rewari,Haryana,India,TRUE
166,123023,Mahendragarh,Haryana,India,TRUE
167,123024,Mahendragarh,Haryana,India,TRUE
168,123027,Mahendragarh,Haryana,India,TRUE
169,123028,Mahendragarh,Haryana,India,TRUE
170,123029,Mahendragarh,Haryana,India,TRUE
171,123034,Rewari,Haryana,India,TRUE
172,123035,Rewari,Haryana,India,TRUE
173,123101,Rewari,Haryana,India,TRUE
174,123102,Rewari,Haryana,India,TRUE
175,123103,Rewari,Haryana,India,TRUE
176,123106,Rewari,Haryana,India,TRUE
177,123110,Rewari,Haryana,India,TRUE
178,123301,Rewari,Haryana,India,TRUE
179,123302,Rewari,Haryana,India,TRUE
180,123303,Rewari,Haryana,India,TRUE
181,123401,Rewari,Haryana,India,TRUE
182,123411,Zainabad,Haryana,India,TRUE
183,123412,Rewari,Haryana,India,TRUE
184,123413,Gurgaon,Haryana,India,TRUE
185,123414,Gurgaon,Haryana,India,TRUE
186,123501,Rewari,Haryana,India,TRUE
187,123502,Gurgaon,Haryana,India,TRUE
188,123504,Gurgaon,Haryana,India,TRUE
189,123505,Gurgaon,Haryana,India,TRUE
190,123506,Gurgaon,Haryana,India,TRUE
191,124001,Rohtak,Haryana,India,TRUE
192,124009,Rohtak,Haryana,India,TRUE
193,124010,Rohtak,Haryana,India,TRUE
194,124021,Rohtak,Haryana,India,TRUE
195,124022,Mehem,Haryana,India,TRUE
196,124102,Jhajjar,Haryana,India,TRUE
197,124103,Jhajjar,Haryana,India,TRUE
198,124104,Jhajjar,Haryana,India,TRUE
199,124105,Jhajjar,Haryana,India,TRUE
200,124106,Jhajjar,Haryana,India,TRUE
201,124107,Jhajjar,Haryana,India,TRUE
202,124108,Jhajjar,Haryana,India,TRUE
203,124109,Jhajjar,Haryana,India,TRUE
204,124111,Mehem,Haryana,India,TRUE
205,124112,Rohtak,Haryana,India,TRUE
206,124113,Rohtak,Haryana,India,TRUE
207,124125,Jhajjar,Haryana,India,TRUE
208,124141,Rohtak,Haryana,India,TRUE
209,124142,Rohtak,Haryana,India,TRUE
210,124146,Jhajjar,Haryana,India,TRUE
211,124201,Jhajjar,Haryana,India,TRUE
212,124202,Jhajjar,Haryana,India,TRUE
213,124303,Rohtak,Haryana,India,TRUE
214,124401,Rohtak,Haryana,India,TRUE
215,124404,Rohtak,Haryana,India,TRUE
216,124406,Rohtak,Haryana,India,TRUE
217,124411,Rohtak,Haryana,India,TRUE
218,124412,Mehem,Haryana,India,TRUE
219,124413,Jind,Haryana,India,TRUE
220,124416,Rohtak,Haryana,India,TRUE
221,124501,Rohtak,Haryana,India,TRUE
222,124504,Jhajjar,Haryana,India,TRUE
223,124505,Jhajjar,Haryana,India,TRUE
224,124506,Jhajjar,Haryana,India,TRUE
225,124507,Jhajjar,Haryana,India,TRUE
226,124508,Jhajjar,Haryana,India,TRUE
227,124513,Mehem,Haryana,India,TRUE
228,124514,Rohtak,Haryana,India,TRUE
229,124524,Rohtak,Haryana,India,TRUE
230,125001,Hisar,Haryana,India,TRUE
231,125004,Hisar,Haryana,India,TRUE
232,125005,Hisar,Haryana,India,TRUE
233,125006,Hisar,Haryana,India,TRUE
234,125007,Hisar,Haryana,India,TRUE
235,125011,Hisar,Haryana,India,TRUE
236,125021,Bhiwani,Haryana,India,TRUE
237,125022,Bhiwani,Haryana,India,TRUE
238,125033,Hisar,Haryana,India,TRUE
239,125037,Hisar,Haryana,India,TRUE
240,125038,Hisar,Haryana,India,TRUE
241,125039,Hisar,Haryana,India,TRUE
242,125042,Hisar,Haryana,India,TRUE
243,125044,Hisar,Haryana,India,TRUE
244,125047,Hisar,Haryana,India,TRUE
245,125048,Fatehabad,Haryana,India,TRUE
246,125049,Hisar,Haryana,India,TRUE
247,125050,Fatehabad,Haryana,India,TRUE
248,125051,Ratia,Haryana,India,TRUE
249,125052,Hisar,Haryana,India,TRUE
250,125053,Fatehabad,Haryana,India,TRUE
251,125054,Sirsa,Haryana,India,TRUE
252,125055,Sirsa,Haryana,India,TRUE
253,125056,Sirsa,Haryana,India,TRUE
254,125058,Sirsa,Haryana,India,TRUE
255,125060,Sirsa,Haryana,India,TRUE
256,125075,Sirsa,Haryana,India,TRUE
257,125076,Rania,Jharkhand,India,TRUE
258,125077,Odhan,Haryana,India,TRUE
259,125078,Bara Gudha,Haryana,India,TRUE
260,125101,Sirsa,Haryana,India,TRUE
261,125102,Hisar,Haryana,India,TRUE
262,125103,Sirsa,Haryana,India,TRUE
263,125104,Dabwali,Haryana,India,TRUE
264,125106,Tohana,Haryana,India,TRUE
265,125110,Sirsa,Haryana,India,TRUE
266,125111,Fatehabad,Haryana,India,TRUE
267,125112,Hisar,Haryana,India,TRUE
268,125113,Hisar,Haryana,India,TRUE
269,125119,Fatehabad,Haryana,India,TRUE
270,125120,Tohana,Haryana,India,TRUE
271,125121,Hisar,Haryana,India,TRUE
272,125133,Tohana,Haryana,India,TRUE
273,125201,Kalanwali,Haryana,India,TRUE
274,126010,Hisar,Haryana,India,TRUE
275,126101,Jind,Haryana,India,TRUE
276,126102,Jind,Haryana,India,TRUE
277,126110,Jind,Haryana,India,TRUE
278,126111,Jind,Haryana,India,TRUE
279,126112,Jind,Haryana,India,TRUE
280,126113,Jind,Haryana,India,TRUE
281,126114,Jind,Haryana,India,TRUE
282,126115,Jind,Haryana,India,TRUE
283,126116,Jind,Haryana,India,TRUE
284,126125,Jind,Haryana,India,TRUE
285,126152,Jind,Haryana,India,TRUE
286,127020,Bhiwani,Haryana,India,TRUE
287,127021,Bhiwani,Haryana,India,TRUE
288,127022,Ch-Dadri,Haryana,India,TRUE
289,127025,Baund,Haryana,India,TRUE
290,127026,Charkhi Dadri,Haryana,India,TRUE
291,127027,Bhiwani,Haryana,India,TRUE
292,127028,Siwani,Haryana,India,TRUE
293,127029,Bhiwani,Haryana,India,TRUE
294,127030,Bhiwani,Haryana,India,TRUE
295,127031,Bhiwani,Haryana,India,TRUE
296,127032,Bawani Khera,Haryana,India,TRUE
297,127035,Bawani Khera,Haryana,India,TRUE
298,127040,Bhiwani,Haryana,India,TRUE
299,127041,Bhiwani,Haryana,India,TRUE
300,127042,Charkhi Dadri,Haryana,India,TRUE
301,127043,Bhiwani,Haryana,India,TRUE
302,127045,Siwani,Haryana,India,TRUE
303,127046,Siwani,Haryana,India,TRUE
304,127110,Charkhi Dadri,Haryana,India,TRUE
305,127111,Bhiwani,Haryana,India,TRUE
306,127114,Bhiwani,Haryana,India,TRUE
307,127201,Loharu,Haryana,India,TRUE
308,127306,Charkhi Dadri,Haryana,India,TRUE
309,127307,Achina,Haryana,India,TRUE
310,127308,Badhara,Haryana,India,TRUE
311,127309,Bhiwani,Haryana,India,TRUE
312,127310,Charkhi Dadri,Haryana,India,TRUE
